date_operation,libelle,montant,solde_avt_ope,categ
2023-03-31,DON XX XX XX XX XX XX XX,-1.44,1515.25,AUTRE
2023-04-03,CARTE XX XX RAPT XX,-24.0,1513.81,TRANSPORT
2023-04-03,CARTE XX XX RAPT XX,-73.0,1489.81,TRANSPORT
2023-04-03,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,1416.81,AUTRE
2023-04-03,VIREMENT XX XX XX XX XX XX,4.8,2092.81,AUTRE
2023-04-03,CARTE XX XX XX XX,-14.39,2097.61,AUTRE
2023-04-05,CARTE XX XX XX XX XX,-15.2,2083.22,AUTRE
2023-04-05,CARTE XX XX XX XX,-12.0,2068.02,AUTRE
2023-04-05,PRELEVEMENT XX TELEPHONE XX XX,-7.02,2056.02,FACTURE TELEPHONE
2023-04-05,CARTE XX XX LES ANCIENS ROBINSON XX,-6.8,2049.0,COURSES
2023-04-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,2042.2,COTISATION BANCAIRE
2023-04-07,VIREMENT XX XX XX XX XX XX XX XX XX XX,992.8,2040.36,AUTRE
2023-04-10,CARTE XX XX XX XX XX,-24.0,3033.16,AUTRE
2023-04-10,VIREMENT XX XX XX XX XX XX,1.6,3009.16,AUTRE
2023-04-10,CARTE XX XX XX XX,-84.4,3010.76,AUTRE
2023-04-10,CARTE XX XX CHEZ LUC XX,-12.42,2926.36,RESTAURANT
2023-04-10,CARTE XX XX XX XX XX XX,-6.0,2913.94,AUTRE
2023-04-10,CARTE XX XX XX XX XX,-20.64,2907.94,AUTRE
2023-04-10,CARTE XX XX XX XX XX XX XX XX XX XX,-1.6,2887.3,AUTRE
2023-04-10,CARTE XX XX LES ANCIENS ROBINSON XX,-42.42,2885.7,COURSES
2023-04-10,CARTE XX XX VELOC XX XX,-2.7,2843.28,TRANSPORT
2023-04-11,VIREMENT XX XX XX XX XX XX XX,836.0,2840.58,AUTRE
2023-04-11,CARTE XX XX XX XX XX,-7.56,3676.58,AUTRE
2023-04-11,VIREMENT XX XX XX XX XX XX XX,869.44,3669.02,AUTRE
2023-04-11,CARTE XX XX XX XX,-48.0,4538.46,AUTRE
2023-04-12,CARTE XX XX XX XX XX,-28.96,4490.46,AUTRE
2023-04-13,XX XX XX XX XX XX XX,-280.0,4461.5,AUTRE
2023-04-14,CARTE XX XX XX XX XX,-1.6,4181.5,AUTRE
2023-04-14,CARTE XX XX CHEZ LUC XX,-8.8,4179.9,RESTAURANT
2023-04-14,CARTE XX XX XX XX XX,-0.8,4171.1,AUTRE
2023-04-15,VIREMENT PERMANENT LOYER,-345.0,4170.3,LOYER
2023-04-18,VIREMENT XX XX XX XX XX XX,1.6,3825.3,AUTRE
2023-04-18,CARTE XX XX XX XX XX,-10.32,3826.9,AUTRE
2023-04-18,CARTE XX XX XX XX XX,-8.72,3816.58,AUTRE
2023-04-18,RETRAIT XX XX XX,-24.0,3807.86,AUTRE
2023-04-18,CARTE XX XX XX XX,-74.58,3783.86,AUTRE
2023-04-18,CARTE XX XX VELOC XX XX,-1.7,3709.28,TRANSPORT
2023-04-19,CARTE XX XX XX XX XX,-13.6,3707.58,AUTRE
2023-04-20,CARTE XX XX XX XX,-7.2,3693.98,AUTRE
2023-04-21,CARTE XX XX L'EPICERIE DEMBAS XX XX,-10.43,3686.78,AUTRE
2023-04-24,CARTE XX XX XX XX XX,-7.84,3676.35,AUTRE
2023-04-24,CARTE XX XX XX XX,-11.64,3668.51,AUTRE
2023-04-24,CARTE XX XX CHEZ LUC XX,-9.2,3656.87,RESTAURANT
2023-04-25,CARTE XX XX LES ANCIENS ROBINSON XX,-32.67,3647.67,COURSES
2023-04-25,CARTE XX XX LES ANCIENS ROBINSON XX,-32.67,3647.67,COURSES
2023-04-26,CARTE XX XX XX XX XX XX,-10.0,3615.0,AUTRE
2023-04-26,CARTE XX XX LA LOUVE XX XX,-1.9,3605.0,COURSES
2023-04-28,CARTE XX XX LES ANCIENS ROBINSON XX,-9.11,3603.1,COURSES
2023-04-28,DON XX XX XX XX XX XX XX,-1.4,3593.99,AUTRE
2023-04-30,XX XX VIREMENT XX XX XX,-36.0,3592.59,AUTRE
2023-05-02,CARTE XX XX TOUPTIPRI XX,-12.24,3556.59,COURSES
2023-05-02,VIREMENT XX XX XX XX XX XX XX,47.2,3544.35,AUTRE
2023-05-02,CARTE XX XX XX XX XX XX,-8.48,3591.55,AUTRE
2023-05-02,CARTE XX XX XX XX XX,-16.7,3583.07,AUTRE
2023-05-02,CARTE XX XX XX XX XX XX,-10.4,3566.37,AUTRE
2023-05-02,RETRAIT XX XX XX,-32.0,3555.97,AUTRE
2023-05-03,CARTE XX XX RAPT XX,-73.0,3523.97,TRANSPORT
2023-05-03,CARTE XX XX XX XX,-14.39,3450.97,AUTRE
2023-05-04,CARTE XX XX LES ANCIENS ROBINSON XX,-17.16,3436.58,COURSES
2023-05-04,VIREMENT XX XX XX XX XX XX XX XX XX XX XX XX,676.0,3419.42,AUTRE
2023-05-05,CARTE XX XX TOUPTIPRI XX,-3.48,4095.42,COURSES
2023-05-06,FORFAIT COMPTE SUPERBANK XX XX XX XX,-1.84,4091.94,COTISATION BANCAIRE
2023-05-09,PRELEVEMENT XX TELEPHONE XX XX,-7.02,4090.1,FACTURE TELEPHONE
2023-05-09,CARTE XX XX XX XX,-1.6,4083.08,AUTRE
2023-05-09,CARTE XX XX XX XX,-1.12,4081.48,AUTRE
2023-05-09,CARTE XX XX XX XX,-1.44,4080.36,AUTRE
2023-05-09,CARTE XX XX XX XX XX,-32.0,4078.92,AUTRE
